_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
3460,20210812,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1531,,2042300,,All vaccinations
3461,20210812,S92000003,Moderna (Spikevax),,Dose 1,189,,175889,,All vaccinations
3462,20210812,S92000003,Moderna (Spikevax),,Dose 2,1572,,56300,,All vaccinations
3463,20210812,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,5411,,1735512,,All vaccinations
3464,20210812,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,15504,,1322704,,All vaccinations
3465,20210812,S92000003,Total,,Dose 1,5770,,4048654,,All vaccinations
3466,20210812,S92000003,Total,4439078,Dose 1,1661,0.0374176799776891,4023042,90.6278736260097,18 years and over
3467,20210812,S92000003,Total,2875396,Dose 1,238,0.00827712078614563,2821841,98.1374739340251,40 years and over
3468,20210812,S92000003,Total,4549217,Dose 1,5250,0.115404475099781,4047048,88.9614190749749,16 years and over
3469,20210812,S92000003,Total,,Dose 2,18607,,3421304,,All vaccinations
3470,20210812,S92000003,Total,4439078,Dose 2,18566,0.4182400038927,3412534,76.8748375225666,18 years and over
3471,20210812,S92000003,Total,2875396,Dose 2,1872,0.0651040760994312,2713950,94.3852603258821,40 years and over
3472,20210812,S92000003,Total,4549217,Dose 2,18607,0.409015441558404,3421213,75.2044362799137,16 years and over
3473,20210813,S92000003,AstraZeneca (Vaxzevria),,Dose 1,208,,2137461,,All vaccinations
3474,20210813,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1475,,2043775,,All vaccinations
3475,20210813,S92000003,Moderna (Spikevax),,Dose 1,155,,176044,,All vaccinations
3476,20210813,S92000003,Moderna (Spikevax),,Dose 2,1786,,58086,,All vaccinations
3477,20210813,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4718,,1740230,,All vaccinations
3478,20210813,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,15010,,1337714,,All vaccinations
3479,20210813,S92000003,Total,,Dose 1,5081,,4053735,,All vaccinations
3480,20210813,S92000003,Total,4439078,Dose 1,1495,0.033678164699967,4024537,90.6615517907097,18 years and over
3481,20210813,S92000003,Total,2875396,Dose 1,260,0.00904223279158766,2822101,98.1465161668167,40 years and over
3482,20210813,S92000003,Total,4549217,Dose 1,4631,0.101797737940397,4051679,89.0632168129153,16 years and over
3483,20210813,S92000003,Total,,Dose 2,18271,,3439575,,All vaccinations
3484,20210813,S92000003,Total,4439078,Dose 2,18221,0.410468119731169,3430755,77.2853056422978,18 years and over
3485,20210813,S92000003,Total,2875396,Dose 2,1724,0.059956958971912,2715674,94.445217284854,40 years and over
3486,20210813,S92000003,Total,4549217,Dose 2,18271,0.401629555152018,3439484,75.6060658350657,16 years and over
3487,20210814,S92000003,AstraZeneca (Vaxzevria),,Dose 1,208,,2137669,,All vaccinations
3488,20210814,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1802,,2045577,,All vaccinations
3489,20210814,S92000003,Moderna (Spikevax),,Dose 1,223,,176267,,All vaccinations
3490,20210814,S92000003,Moderna (Spikevax),,Dose 2,2792,,60878,,All vaccinations
3491,20210814,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4379,,1744609,,All vaccinations
3492,20210814,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,14602,,1352316,,All vaccinations
3493,20210814,S92000003,Total,,Dose 1,4810,,4058545,,All vaccinations
3494,20210814,S92000003,Total,4439078,Dose 1,1472,0.0331600390891983,4026009,90.6947118297989,18 years and over
3495,20210814,S92000003,Total,2875396,Dose 1,265,0.00921612188373358,2822366,98.1557322887004,40 years and over
3496,20210814,S92000003,Total,4549217,Dose 1,4313,0.0948075240200676,4055992,89.1580243369354,16 years and over
3497,20210814,S92000003,Total,,Dose 2,19196,,3458771,,All vaccinations
3498,20210814,S92000003,Total,4439078,Dose 2,19130,0.430945344956768,3449885,77.7162509872546,18 years and over
3499,20210814,S92000003,Total,2875396,Dose 2,2099,0.0729986408828558,2717773,94.5182159257369,40 years and over
3500,20210814,S92000003,Total,4549217,Dose 2,19196,0.421962724574361,3458680,76.0280285596401,16 years and over
3501,20210815,S92000003,AstraZeneca (Vaxzevria),,Dose 1,161,,2137830,,All vaccinations
